8.30	18.75
16.15	23.85
26.35	28.5
20.5	7
21	22.15
4.35	20.25
8.15	10.35
17.2	19.9
17.3	3.25
23.9	7.65
24.5	7.75
20	22.95
3.05	14.15
3.95	19.55
12.8	18.05
27.2	4.55
9.30	20.3
21.45	21.95
27.75	27.35
8.90	9.05
14.85	19.55
13.55	18.85
11.85	16.5
27.35	18.45
24.3	24.85
23.2	18.25
8.05	18.15
13.8	19.05
22.05	26.5
5.15	21.8
11.6	15.25
19.35	31.65
18.75	7.10
12.7	5.20
26.2	22.3
3.35	11.4
19.9	6.95
12.55	17.85
20.7	22.55
24.9	29.65
25.65	23.45
31.45	16.55
11.55	14.35
16.2	19.9
22.75	11.4
19.6	23.15
15.55	27.75
21.85	3.05
26.3	14.45
27.35	19.1
22.3	11.3
22.9	19.65
12.65	10.9
22.25	21
13.25	10.1
11.65	15.7
15.8	13.5
18.2	19.55
15.8	8.05
11.8	16.05
24.8	12.7
17.85	11.5
26.05	23
19.55	11
30.3	13
15.7	3.70
22.5	7.30
23.6	3.30
21.45	11.05
9.35	8.35
14	23.55
3.45	17.75
16.4	27.75
7.30	14.35
20.35	31.45
23.35	25.65
9.70	7.85
23.8	25.3
