11.75	13.05
16.90	7.6
17	12.05
22.35	15.80
8.9	19.85
26.55	14.85
16.35	7.8
10.60	21.65
11.45	6.150
25.95	14.10
30.40	23.70
28.30	26.60
15.70	23.75
26.90	9.1
15	19.70
18.45	11.25
31.50	19.70
7.350	13.75
21.35	31.10
31.25	21.30
16.15	12.95
31.35	20.55
10.30	7.250
15.90	13.40
26.75	21.25
8.8	25.45
14.15	4.4
11.70	27
29.95	24.45
18.55	27.70
21.90	15.30
25.35	13.30
16	13.10
13.30	27.60
15.40	8.350
15.25	19.70
22.55	16.05
14.55	23.60
4.7	21.10
6.2	23.30
23.55	11.85
12	16.75
20.40	22.70
23.95	30.05
25.40	3.850
26.25	8.8
27.15	19.60
7.950	10.95
19.10	23.35
16.50	12.50
14.05	27.60
8.050	24.95
23.20	17.80
3.1	13.25
20.10	27.35
22.60	16.20
22	15.40
25.05	12.95
31.60	17.35
9.5	26
13.95	9.3
31.15	7.3
16.20	12.80
14.15	19.25
15.80	13.65
29.50	11.75
12.30	17.60
15.65	14.60
17.15	23.75
21.75	15.15
25.60	29.05
11.80	12.65
22	21.25
15.95	19.90
17.65	19.75
28.95	25.85
22.25	30.90
22.70	16.40
3.7	18.70
10.90	6.650
18.15	11.35
23.20	11.65
16.75	12.20
16.65	12.35
3.1	16
7.7	16.95
27	16.40
22.75	20.05
9.650	20.80
22.40	15.95
14.45	8.9
21.85	15.25
21.65	15.05
21.90	11.10
30.90	14.35
15.65	14.25
7.750	11.70
22.15	15.55
7.350	24.45
15.10	23.75
15.65	14.50
7.550	16.35
22.70	26.15
17.40	19.80
21.90	7.1
19.95	11
20.90	3
16.35	12.70
22.65	20.35
12.15	17.20
13.10	18.40
13.05	23.20
27.15	20.15
7.450	13
30.60	22.90
17.20	11.95
13.40	4.750
24.40	12.45
25.75	13.70
20.35	10.95
8.650	19.30
3.1	12.35
7.8	17.55
28.05	5
3.550	10.65
11.55	22.45
13.60	9.650
31.55	18.90
27	15.90
12.05	5.650
19.25	7.050
18	19.60
15.65	14.05
12.55	23
17.75	23.75
11.55	13.60
23	19.35
29	11.15
19.10	3
10.20	26.35
31.30	15.80
15.55	19.85
26.75	15.35
18.20	3.2
7.350	14.95
18.05	7.250
28.50	10.60
29.90	12.30
25.70	8.4
5.6	22.50
27.30	17.40
15.75	13.85
31.95	7.950
21.55	15
3	15.10
17.90	27.75
21.25	7.050
29.70	6
23.05	17.15
27.15	16.90
15.95	13.25
11.95	22.70
22.75	3.150
12.20	11.75
23.15	7.4
20.70	10.95
7.350	15.75
28.90	5.550
11.95	12.20
28	10.10
20.70	27.10
7.550	12.35
27.55	9.650
27.40	18
18.85	11.10
16.55	3.5
6.8	23.85
23.10	19
21.75	21.55
14.85	4.1
22.90	16.90
21.50	14.90
13.45	23.40
17.50	11.70
19.35	27.60
11.55	14
20	2.9
13.30	18.60
12.95	10.55
26.35	4.150
10.20	21.25
30.90	22.10
23.10	17.45
22.50	20.70
8.550	9.650
23.15	18.65
21.45	26.80
30.60	13.65
31.15	15.05
27	20.70
23.20	18.05
17.80	19.70
22.20	15.65
30.45	6.650
26.60	21.80
10.90	26.75
3.9	9.6
23.20	30.45
18.20	23.60
17.10	27.75
27.15	27.90
16.70	23.80
18.65	23.50
14.90	8.7
11.10	22.15
21.10	11
31.65	18.15
11.55	14.70
3.2	16.85
19.15	11.05
24.75	24.35
22.85	16.60
24.60	3.6
12.35	11.40
29.50	25.15
25.15	8.050
16.85	19.90
14.70	27.75
12.45	27.25
17.50	7.350
16.55	19.90
24.05	12.20
14.45	19.50
25.25	23.95
